ID,Name,Code,OEM Brand,OEM Group,POM,To (Country),To (Region),Sales Rep,Product,25Y Sales (￦0.1b),Source Lat,Source Lng,Target Lat,Target Lng,Address
96,GM BRAZIL CCA,200057,,,Yeongsan Plant,BR,SA,이상영,,1.1719,35.447662,128.52357,-23.433664,312.562411,"Av. Gen. Motors, 100, Sorocaba - SP, 18087-165, Brazil"
97,UZ-AUTO MOTORS,200041,,,Yeongsan Plant,UZ,NA,이상영,,12.5085,35.447662,128.52357,40.650394,72.249565,"81, Humo Street, Asaka City, Andijan Reg"
98,MODATEK through warehouse,200038,,,Yeongsan Plant,CA,NA,이상영,,1.4745092,35.447662,128.52357,43.524016,280.080132,"400 CHISHOLM DRIVE, MILTON,ON"
99,SGM SHANGHAI LIMITED,203936,,,Yeongsan Plant,CN,AS,이상영,,-0.10480171,35.447662,128.52357,31.266716,121.608071,"1500 Shen Jiang Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201206"
100,OPEL SPO(EUR_DIRECT),200053,,,Yeongsan Plant,DE,EU,최유정,,0.0392688,35.447662,128.52357,50.059557,8.520505,"BKS Scan Center, IPC 01-01, Russelsheim"
101,OPELSPO,200498,,,Yeongsan Plant,DE,EU,최유정,,0.000807,35.447662,128.52357,49.836859,8.924563,"Kreditoren-Buchhaltung BKS Scan, Russelsheim"
102,#N/A,200030,,,Yeongsan Plant,US,NA,이상영,,0,35.447662,128.52357,39.090755,265.299745,"5300 KANSAS AVE, KANSAS CITY, KANSAS"
103,GM RAMOS(MEXICO),200040,,,Yeongsan Plant,MX,SA,최향민,,7.084181,35.447662,128.52357,25.535506,259.043208,"Prol Blvd Isidro Lopez Zertuche, Ramos Arizpe, Coahuila"
104,GM SPRING HILL(USA),200075,,,Yeongsan Plant,US,NA,최향민,,3.1473,35.447662,128.52357,35.74915,273.04728,"100 Saturn Parkway, Springhill, TN"
105,SGM SHANGHAI LQ,203934,,,Yeongsan Plant,CN,AS,최향민,,1.0955463,35.447662,128.52357,31.266716,121.608071,"1500 Shen Jiang Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201206"
106,SGM SHANGHAI RDC,203937,,,Yeongsan Plant,CN,AS,최향민,,0.26834784,35.447662,128.52357,31.266716,121.608071,"1500 Shen Jiang Lu, Pu Dong Xin Qu, Shang Hai Shi, China, 201206"
107,Stellantis Espana S.L.,200068,,,Yeongsan Plant,FR,EU,최유정,,9.1612558,35.447662,128.52357,48.934519,2.044594,"Bld De L'europe Yvelines, Cedex Poissy"
108,FORD TAIWAN,200535,,,Yeongsan Plant,TW,AS,안근수,,1.973512,35.447662,128.52357,24.956654,121.22035,"705 Zhonghua Rd., Sec. 1, Zhongli District, Taoyuan"
109,GM SAN LUIS(MEXICO),200097,,,Yeongsan Plant,US,NA,최향민,,32.9562,35.447662,128.52357,21.947294,259.13909,"Parque Industrial Logistik, Col., Laguna de San Vicente., Villa de"
110,GM SPO Lansing,203940,,,Yeongsan Plant,US,NA,최향민,,0.013345,35.447662,128.52357,42.716088,275.390266,"Lansing, MI 48917, 4400 W.Mount Hope Rd."
111,SGM SHENYANG NORSOM MOTORS,203935,,,Yeongsan Plant,CN,AS,이상영,,2.12886342,35.447662,128.52357,41.802512,123.465441,"15 BEIDAYING ROAD DADONG DISTRICT, SHENYANG"
112,FORD EU,200119,,,Yeongsan Plant,DE,EU,안근수,,0.970126,35.447662,128.52357,52.520089,13.369238,"Germany, Germany"
113,GM BOWLING GREEN PLANT,200134,,,Yeongsan Plant,US,NA,최향민,,5.87284,35.447662,128.52357,37.026953,273.664563,"383 Scotty’s Way,, Bowling Green, KY"
114,GM FORT WAYNE,200120,,,Yeongsan Plant,US,NA,이상영,,26.4497747,35.447662,128.52357,42.578849,276.363273,"General Motors C/O LINC Airport, USA"
115,GM SILAO (MEXICO),200121,,,Yeongsan Plant,MX,SA,이상영,,35.137606,35.447662,128.52357,20.943338,258.57279,"Carretera Silao-Guanajuato Km. 3, Silao, Gto"
116,#N/A,203938,,,Yeongsan Plant,CA,NA,이상영,,15.188,35.447662,128.52357,43.897565,281.136357,"Car Assembly 1 CEVA - GATE #1 - STEVENSON ROAD, OSHAWA,, 14020-General Motors Oshawa"
117,GM Romulus warehouse,287431,,,Yeongsan Plant,US,NA,이상영,,0,35.447662,128.52357,42.211345,276.581007,"Michigan, 48174, 38481 W. Huron Drive, Romulus,"
118,TXX livermore atlantis,203954,,,Yeongsan Plant,US,NA,우성령/조소영,,48.93094,35.447662,128.52357,37.681582,238.188567,"Atlantis Court Livermore, CA 94551 USA, Atlantis Court 800"
